"Home.Postal.Code","Reference.Code","Student.Number","Sex","Module.Language","Module.Duration","Module.City","module.lat","module.long","Module.Country","Home.Region","city","state","latitude","longitude"
"10305","UNXV6342","2015-001-502657","Male","Arabic","Summer","Amman","31.9454","35.9284","Jordan","New York","Staten Island","NY",40.599021,-74.07503
"10452","MJPW3136","2015-001-503252","Female","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","New York","Bronx","NY",40.838745,-73.92234
"10453","XRJB3258","2015-001-509643","Female","Korean","Summer","Seoul","37.5665","126.978","South Korea","New York","Bronx","NY",40.853017,-73.91214
"10576","BHPH4787","2015-001-503406","Female","Russian","Year","Chisinau","47.0105","28.8638","Moldova","New York","Pound Ridge","NY",41.212954,-73.58409
"10583","HHWS1696","2015-001-502149","Female","Chinese","Summer","Shanghai","31.2304","121.4737","China","New York","Scarsdale","NY",40.98845,-73.79716
"10703","KMNV7872","2015-001-501501","Male","Chinese","Summer","Suzhou","31.299","120.5853","China","New York","Yonkers","NY",40.956546,-73.8799
"10804","HSZU3732","2015-001-502943","Female","Arabic","Summer","Marrakesh","31.6295","7.9811","Morocco","New York","Wykagyl","NY",40.946805,-73.78797
"10956","HMRQ1181","2015-001-511276","Male","Chinese","Summer","Harbin","45.8038","126.535","China","New York","New City","NY",41.145495,-73.9949
"11030","TUTU1836","2015-001-503716","Female","Russian","Summer","Chisinau","47.0105","28.8638","Moldova","New York","Manhasset","NY",40.796752,-73.68935
"11105","BYNM2279","2015-001-502517","Female","Arabic","Summer","Marrakesh","31.6295","7.9811","Morocco","New York","Astoria","NY",40.774686,-73.90816
"11206","QVZY8353","2015-001-509642","Female","Russian","Summer","Chisinau","47.0105","28.8638","Moldova","New York","Brooklyn","NY",40.702348,-73.94288
"11208","KMHS5491","2015-001-503761","Female","Turkish","Summer","Bursa","40.1885","29.061","Turkey","New York","Brooklyn","NY",40.672666,-73.87248
"11210","HJXP1678","2015-001-509615","Female","Korean","Summer","Seoul","37.5665","126.978","South Korea","New York","Brooklyn","NY",40.627946,-73.94552
"11214","WWJA7296","2015-001-509625","Male","Korean","Summer","Seoul","37.5665","126.978","South Korea","New York","Brooklyn","NY",40.598994,-73.99611
"11215","EAQB7513","2015-001-503907","Male","Turkish","Summer","Bursa","40.1885","29.061","Turkey","New York","Brooklyn","NY",40.667508,-73.9856
"11218","QEAZ3413","2015-001-502768","Female","Chinese","Summer","Xiamen","24.4798","118.0894","China","New York","Brooklyn","NY",40.644552,-73.97595
"11220","CTVR4372","2015-001-503532","Male","Chinese","Summer","Shanghai","31.2304","121.4737","China","New York","Brooklyn","NY",40.641436,-74.01574
"11231","SZKR1475","2015-001-502000","Female","Arabic","Year","Rabat","33.9716","6.8498","Morocco","New York","Brooklyn","NY",40.6788,-74.00254
"11231","ZWDE1911","2015-001-502271","Female","Chinese","Summer","Nanjing","32.0603","118.7969","China","New York","Brooklyn","NY",40.6788,-74.00254
"11232","DCMC3888","2015-001-509639","Male","Turkish","Summer","Bursa","40.1885","29.061","Turkey","New York","Brooklyn","NY",40.655481,-74.00424
"11236","XDTD8992","2015-001-509638","Female","Turkish","Summer","Ankara","39.9334","32.8597","Turkey","New York","Brooklyn","NY",40.640527,-73.90362
"11377","UJFC3865","2015-001-509602","Female","Korean","Summer","Seoul","37.5665","126.978","South Korea","New York","Woodside","NY",40.742869,-73.90377
"11782","XEUC6736","2015-001-503625","Female","Russian","Summer","Moscow","55.7558","37.6173","Russia","New York","Sayville","NY",40.739869,-73.07198
"13104","JKFH2892","2015-001-501424","Female","Korean","Summer","Seoul","37.5665","126.978","South Korea","New York","Manlius","NY",42.987329,-75.96763
"13501","DBUT1225","2015-001-500962","Male","Arabic","Year","Marrakesh","31.6295","7.9811","Morocco","New York","Utica","NY",43.087669,-75.22681
"14047","ZQDZ9519","2015-001-503131","Male","Chinese","Summer","Xiamen","24.4798","118.0894","China","New York","Derby","NY",42.694598,-78.98151
"14141","CPED2151","2015-001-500557","Female","Russian","Summer","Chisinau","47.0105","28.8638","Moldova","New York","Springville","NY",42.516248,-78.68944
"14445","ZACY9279","2015-001-503240","Male","Hindi","Year","Indore","22.7196","75.8577","India","New York","East Rochester","NY",43.111663,-77.48709
"15017","WZGD7253","2015-001-502802","Female","Russian","Year","Chisinau","47.0105","28.8638","Moldova","Pennsylvania","Bridgeville","PA",40.351802,-80.11534
"15102","JYHR7137","2015-001-503614","Female","Russian","Summer","Moscow","55.7558","37.6173","Russia","Pennsylvania","Bethel Park","PA",40.324535,-80.03864
"15216","NRBP2379","2015-001-503705","Male","Russian","Summer","Chisinau","47.0105","28.8638","Moldova","Pennsylvania","Pittsburgh","PA",40.400319,-80.03566
"15241","GPHQ9878","2015-001-502804","Male","Chinese","Summer","Xiamen","24.4798","118.0894","China","Pennsylvania","Pittsburgh","PA",40.329619,-80.07364
"16066","QZHT8649","2015-001-500718","Female","Korean","Summer","Jeonju","35.8242","127.148","South Korea","Pennsylvania","Cranberry Twp","PA",40.700423,-80.11374
"16870","MJSY6731","2015-001-500620","Female","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","Pennsylvania","Port Matilda","PA",40.801396,-78.045
"17601","JVKC3682","2015-001-503446","Female","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","Pennsylvania","Lancaster","PA",40.072246,-76.3155
"18034","PNCE9885","2015-001-502765","Female","Arabic","Summer","Marrakesh","31.6295","7.9811","Morocco","Pennsylvania","Center Valley","PA",40.540398,-75.41501
"18064","VRCC7164","2015-001-500507","Female","Chinese","Year","Kaohsiung","22.6273","120.3014","Taiwan","Pennsylvania","Nazareth","PA",40.746849,-75.31632
"18104","DKGW1473","2015-001-503611","Female","Turkish","Summer","Ankara","39.9334","32.8597","Turkey","Pennsylvania","Allentown","PA",40.601996,-75.52104
"18353","XSGB9152","2015-001-500617","Male","Chinese","Summer","Jiaxing","30.7539","120.7585","China","Pennsylvania","Saylorsburg","PA",40.906654,-75.35881
"19003","JVBR7819","2015-001-501207","Female","Korean","Summer","Seoul","37.5665","126.978","South Korea","Pennsylvania","Ardmore","PA",40.000861,-75.29694
"19038","NADQ6643","2015-001-502589","Female","Hindi","Summer","Pune","18.5204","73.8567","India","Pennsylvania","Glenside","PA",40.10346,-75.16829
"19095","MAHJ9126","2015-001-502377","Male","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","Pennsylvania","Wyncote","PA",40.08786,-75.14707
"19096","BKJZ7266","2015-001-501030","Female","Chinese","Summer","Suzhou","31.299","120.5853","China","Pennsylvania","Wynnewood","PA",39.992345,-75.27624
"19102","BCXP3649","2015-001-504438","Female","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","Pennsylvania","Philadelphia","PA",39.952962,-75.16558
"19130","SJCB8367","2015-001-503244","Female","Turkish","Summer","Bursa","40.1885","29.061","Turkey","Pennsylvania","Philadelphia","PA",39.968262,-75.17222
"19139","ZAHA2678","2015-001-500917","Female","Russian","Summer","Chisinau","47.0105","28.8638","Moldova","Pennsylvania","Philadelphia","PA",39.961812,-75.23003
"19153","SKTR3641","2015-001-500934","Male","Chinese","Summer","Hangzhou","30.2741","120.1551","China","Pennsylvania","Philadelphia","PA",39.898985,-75.23221
"19403","CVTC4488","2015-001-501328","Female","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","Pennsylvania","Norristown","PA",40.146069,-75.38378
"19962","WDTE7467","2015-001-501483","Female","Chinese","Summer","Nanjing","32.0603","118.7969","China","Delaware","Magnolia","DE",39.06517,-75.49858
"20002","YCVN2823","2015-001-501894","Male","Chinese","Summer","Shanghai","31.2304","121.4737","China","District of Columbia","Washington","DC",38.901811,-76.99097
"20007","FPTQ2451","2015-001-502734","Female","Chinese","Summer","Suzhou","31.299","120.5853","China","District of Columbia","Washington","DC",38.913961,-77.07179
"20008","WSBG5698","2015-001-501110","Male","Chinese","Summer","Suzhou","31.299","120.5853","China","District of Columbia","Washington","DC",38.934866,-77.06039
"20008","PWWG1443","2015-001-502070","Male","Turkish","Summer","Bursa","40.1885","29.061","Turkey","District of Columbia","Washington","DC",38.934866,-77.06039
"20010","QCGZ4551","2015-001-503097","Male","Chinese","Year","Kaohsiung","22.6273","120.3014","Taiwan","District of Columbia","Washington","DC",38.933311,-77.02929
"20015","FBUJ4192","2015-001-500651","Male","Chinese","Summer","Xiamen","24.4798","118.0894","China","District of Columbia","Washington","DC",38.96516,-77.06737
"20151","CHCJ7481","2015-001-503650","Female","Arabic","Year","Rabat","33.9716","6.8498","Morocco","Virginia","Chantilly","VA",38.889111,-77.4363
"20165","DBUA9296","2015-001-502974","Male","Chinese","Summer","Xiamen","24.4798","118.0894","China","Virginia","Sterling","VA",39.044855,-77.38701
"20814","YFBW6586","2015-001-500566","Female","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","Maryland","Bethesda","MD",38.999759,-77.10185
"20815","XDHN8952","2015-001-503854","Male","Russian","Summer","Moscow","55.7558","37.6173","Russia","Maryland","Chevy Chase","MD",38.97986,-77.08079
