Reference.Code,Student.Number,Sex,Module.Language,Module.Duration,Module.City,module.lat,module.long,Module.Country,Home.Region,Home.Postal.Code
UQBK7671,2015-001-501375,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Kentucky,40214
UQVC6226,2015-001-501858,Female,Persian (Tajik),Summer,Dushanbe,38.5598,68.787,Tajikistan,New York,10025
UQXW8991,2015-001-501206,Female,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,Virginia,23116
URSH4999,2015-001-503034,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Wisconsin,53211
USPG9494,2015-001-500471,Male,Chinese,Summer,Hangzhou,#N/A,#N/A,China,,739969
UTJN1811,2015-001-502836,Male,Chinese,Summer,Zhuhai,22.271,113.5767,China,Washington,98065
UTNC1917,2015-001-500920,Male,Russian,Year,Chisinau,47.0105,28.8638,Moldova,New Hampshire,3801
UTUH7927,2015-001-501730,Female,Hindi,Summer,Pune,18.5204,73.8567,India,Wisconsin,53217
UTXD4148,2015-001-501680,Male,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,Kansas,66215
UVSG2954,2015-001-500509,Female,Chinese,Summer,Jiaxing,30.7539,120.7585,China,Texas,76017
UVYA3888,2015-001-502014,Female,Chinese,Summer,Hangzhou,30.2741,120.1551,China,Colorado,80122
VAEQ4629,2015-001-502405,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Ohio,45236
VAWY4216,2015-001-501000,Female,Hindi,Summer,Indore,22.7196,75.8577,India,New Jersey,7043
VBWF4845,2015-001-503046,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,California,90505
VESE1636,2015-001-500724,Female,Chinese,Summer,Xiamen,24.4798,118.0894,China,Florida,32210
VFBT4478,2015-001-501267,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Florida,32578
VFMK3689,2015-001-503107,Female,Hindi,Summer,Indore,22.7196,75.8577,India,Kentucky,40324
VFWK5625,2015-001-502150,Female,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,North Carolina,27405
VGNY4437,2015-001-501416,Female,Arabic,Year,Rabat,33.9716,6.8498,Morocco,New Jersey,7042
VJPJ1596,2015-001-501780,Male,Hindi,Year,Indore,22.7196,75.8577,India,North Carolina,28778
VMJG3693,2015-001-503091,Male,Korean,Summer,Jeonju,35.8242,127.148,South Korea,Texas,78258
VMJR5794,2015-001-503093,Male,Turkish,Summer,Bursa,40.1885,29.061,Turkey,Ohio,45174
VMRF4326,2015-001-503721,Female,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,Missouri,64113
VMSJ7283,2015-001-501543,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Maryland,21209
VMTT4376,2015-001-501752,Female,Chinese,Summer,Deyang,31.1269,104.3979,China,Missouri,63017
VNNK4428,2015-001-502739,Female,Chinese,Summer,Zhuhai,22.271,113.5767,China,Illinois,60515
VNNN1999,2015-001-500980,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,South Dakota,57783
VPDR2144,2015-001-501247,Male,Chinese,Summer,Zhuhai,#N/A,#N/A,China,,556509
VPPU9558,2015-001-511271,Female,Chinese,Summer,Harbin,45.8038,126.535,China,Maine,4072
VQMG5247,2015-001-501600,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Virginia,22201
VRCC7164,2015-001-500507,Female,Chinese,Year,Kaohsiung,22.6273,120.3014,Taiwan,Pennsylvania,18064
VRWV1834,2015-001-503509,Male,Chinese,Summer,Jiaxing,30.7539,120.7585,China,Kansas,66053
VSDP2131,2015-001-502897,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,California,91320
VSFZ8788,2015-001-502398,Female,Hindi,Summer,Indore,22.7196,75.8577,India,California,91377
VSMM8139,2015-001-502298,Female,Arabic,Summer,Amman,31.9454,35.9284,Jordan,Wisconsin,53593
VSSE7918,2015-001-509626,Male,Arabic,Summer,Amman,31.9454,35.9284,Jordan,Illinois,60804
VUXE7575,2015-001-502607,Female,Chinese,Summer,Suzhou,31.299,120.5853,China,Colorado,80238
VWAN4982,2015-001-501488,Female,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,Arizona,85048
VWDA7276,2015-001-502918,Female,Chinese,Year,Changzhou,31.8112,119.9741,China,Wisconsin,53210
VWRC6167,2015-001-503351,Female,Chinese,Summer,Zhuhai,22.271,113.5767,China,Minnesota,55079
WAHZ6327,2015-001-501479,Female,Turkish,Year,Izmir,38.4237,27.1428,Turkey,Indiana,47201
WBRC6146,2015-001-503347,Female,Chinese,Summer,Deyang,31.1269,104.3979,China,Arizona,85756
WBWK9933,2015-001-503222,Female,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,Maine,4106
WDNN4714,2015-001-501626,Male,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,Virginia,23456
WDTE7467,2015-001-501483,Female,Chinese,Summer,Nanjing,32.0603,118.7969,China,Delaware,19962
WDVH1984,2015-001-502300,Female,Chinese,Summer,Jiaxing,30.7539,120.7585,China,Iowa,52172
WGCG3973,2015-001-501506,Male,Russian,Summer,Moscow,55.7558,37.6173,Russia,California,94086
WGGT7431,2015-001-503372,Female,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,North Carolina,28374
WGXN1154,2015-001-502378,Male,Korean,Summer,Songdo,37.3839,126.6439,South Korea,Texas,78704
WJPH7147,2015-001-502978,Female,Korean,Summer,Jeonju,35.8242,127.148,South Korea,South Carolina,29526
WNMR5223,2015-001-511469,Male,Russian,Summer,Daugavpils,55.8747,26.5362,Latvia,Illinois,60639
WNTR7544,2015-001-502219,Female,Hindi,Summer,Pune,18.5204,73.8567,India,Wisconsin,53805
WNXS2718,2015-001-502115,Male,Russian,Summer,Moscow,55.7558,37.6173,Russia,Texas,77479
WPMD3227,2015-001-511475,Female,Russian,Summer,Daugavpils,55.8747,26.5362,Latvia,Illinois,60647
WQRN4152,2015-001-501991,Female,Korean,Summer,Songdo,37.3839,126.6439,South Korea,Washington,98424
WRDY4287,2015-001-503680,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Maryland,21046
WRFA1414,2015-001-503841,Female,Chinese,Summer,Xiamen,24.4798,118.0894,China,Wisconsin,53118
WSBG5698,2015-001-501110,Male,Chinese,Summer,Suzhou,31.299,120.5853,China,District of Columbia,20008
WTBZ6324,2015-001-503167,Female,Chinese,Year,Beijing,39.9042,116.4074,China,Oregon,97212
WTXM9273,2015-001-501719,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Virginia,23113
WUXF2975,2015-001-503585,Female,Persian (Tajik),Summer,Dushanbe,38.5598,68.787,Tajikistan,California,94062
WVAT2262,2015-001-502631,Female,Chinese,Summer,Jiaxing,30.7539,120.7585,China,Arizona,85209
WVDD2668,2015-001-501597,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Wyoming,82801
WWGZ4471,2015-001-502293,Female,Chinese,Summer,Hangzhou,30.2741,120.1551,China,Maryland,20815
WWJA7296,2015-001-509625,Male,Korean,Summer,Seoul,37.5665,126.978,South Korea,New York,11214
WWZK7913,2015-001-500601,Male,Hindi,Summer,Indore,22.7196,75.8577,India,Kansas,66224
WXKE6161,2015-001-500947,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Georgia,30084
WXWC9948,2015-001-503123,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Texas,75248
WZGD7253,2015-001-502802,Female,Russian,Year,Chisinau,47.0105,28.8638,Moldova,Pennsylvania,15017
WZHT4279,2015-001-501192,Female,Arabic,Summer,Muscat,23.5859,58.4059,Oman,Arizona,85331
WZPC1677,2015-001-502818,Female,Hindi,Year,Indore,22.7196,75.8577,India,Texas,78232
XART9568,2015-001-511273,Female,Chinese,Summer,Harbin,45.8038,126.535,China,Iowa,52722
XBGH9574,2015-001-503180,Female,Korean,Summer,Jeonju,35.8242,127.148,South Korea,Nevada,89143
XBJF6197,2015-001-511275,Male,Chinese,Summer,Harbin,45.8038,126.535,China,Idaho,83401
XCEW9784,2015-001-509637,Female,Korean,Summer,Songdo,37.3839,126.6439,South Korea,Texas,77003
XCFR6896,2015-001-500992,Female,Chinese,Summer,Hangzhou,30.2741,120.1551,China,Utah,84097
XCJN5227,2015-001-511314,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,Colorado,80303
XCZH1361,2015-001-500995,Male,Arabic,Summer,Amman,31.9454,35.9284,Jordan,Florida,33928
XDBF9267,2015-001-503021,Male,Persian (Tajik),Summer,Dushanbe,38.5598,68.787,Tajikistan,New York,10069
XDHN8952,2015-001-503854,Male,Russian,Summer,Moscow,55.7558,37.6173,Russia,Maryland,20815
XDSB6726,2015-001-502560,Male,Chinese,Summer,Suzhou,31.299,120.5853,China,California,95452
XDTD8992,2015-001-509638,Female,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,New York,11236
XEUC6736,2015-001-503625,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,New York,11782
XGJR6821,2015-001-500930,Female,Russian,Year,Chisinau,47.0105,28.8638,Moldova,Massachusetts,2130
XGSR8516,2015-001-501499,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,New Jersey,7104
XJGY9653,2015-001-511287,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,California,91362
XJKK1338,2015-001-503459,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,Virginia,22043
XKHA3422,2015-001-502687,Female,Hindi,Summer,Indore,22.7196,75.8577,India,California,95819
XPHM4819,2015-001-502608,Female,Chinese,Summer,Jiaxing,30.7539,120.7585,China,Florida,33073
